status,mode,batch_size,n,avg_ms,logical_gbps,total_count,csv,returncode,elapsed_s,error
PASS,v4,2,1024,0.008552,1.67025,1009,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b2_n1024_t0_p0.5_v4_flow_latest.csv,0,0.203,
PASS,library_cub_device_select,2,8192,0.00833232,13.7978,8260,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n8192_t0_p0.5_v4_flow_latest.csv,0,0.195,
PASS,v2,2,8192,0.008528,13.4812,8260,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n8192_t0_p0.5_v4_flow_latest.csv,0,0.207,
PASS,v3,2,8192,0.00851424,13.503,8260,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n8192_t0_p0.5_v4_flow_latest.csv,0,0.191,
PASS,v4,2,8192,0.0085408,13.461,8260,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b2_n8192_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,library_cub_device_select,2,131072,0.00833184,220.704,132036,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n131072_t0_p0.5_v4_flow_latest.csv,0,0.220,
PASS,v2,2,131072,0.0126779,145.045,132036,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n131072_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v3,2,131072,0.0116619,157.682,132036,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n131072_t0_p0.5_v4_flow_latest.csv,0,0.201,
PASS,v4,2,131072,0.0118632,155.006,132036,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b2_n131072_t0_p0.5_v4_flow_latest.csv,0,0.218,
PASS,library_cub_device_select,2,1048576,0.0182872,804.662,1057310,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v2,2,1048576,0.0502062,293.091,1057310,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.222,
PASS,v3,2,1048576,0.0249083,590.767,1057310,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.218,
PASS,v4,2,1048576,0.0249054,590.835,1057310,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b2_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.203,
PASS,library_cub_device_select,3,32,0.00368656,0.185539,48,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n32_t0_p0.5_v4_flow_latest.csv,0,0.179,
PASS,v2,3,32,0.00851856,0.0802953,48,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n32_t0_p0.5_v4_flow_latest.csv,0,0.192,
PASS,v3,3,32,0.0085728,0.0797872,48,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n32_t0_p0.5_v4_flow_latest.csv,0,0.187,
PASS,v4,3,32,0.0085736,0.0797798,48,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b3_n32_t0_p0.5_v4_flow_latest.csv,0,0.203,
PASS,library_cub_device_select,3,256,0.00352288,1.51694,373,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n256_t0_p0.5_v4_flow_latest.csv,0,0.194,
PASS,v2,3,256,0.00850736,0.628162,373,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n256_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v3,3,256,0.00856864,0.62367,373,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n256_t0_p0.5_v4_flow_latest.csv,0,0.201,
FAIL,v4,3,256,,,,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b3_n256_t0_p0.5_v4_flow_latest.csv,1,0.209,"CUDA_CHECK failed at /home/silenceduke/vscode-project/compact_kernel_lab/benchmark/benchmark_compact.cu:90: an illegal memory access was encountered (700)
"
PASS,library_cub_device_select,3,512,0.00340896,3.13879,752,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n512_t0_p0.5_v4_flow_latest.csv,0,0.171,
PASS,v2,3,512,0.008488,1.2606,752,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n512_t0_p0.5_v4_flow_latest.csv,0,0.179,
PASS,v3,3,512,0.00853696,1.25337,752,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n512_t0_p0.5_v4_flow_latest.csv,0,0.203,
FAIL,v4,3,512,,,,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b3_n512_t0_p0.5_v4_flow_latest.csv,1,0.221,"CUDA_CHECK failed at /home/silenceduke/vscode-project/compact_kernel_lab/benchmark/benchmark_compact.cu:90: an illegal memory access was encountered (700)
"
PASS,library_cub_device_select,3,1024,0.00375968,5.69304,1508,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n1024_t0_p0.5_v4_flow_latest.csv,0,0.186,
PASS,v2,3,1024,0.00850368,2.51703,1508,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n1024_t0_p0.5_v4_flow_latest.csv,0,0.189,
PASS,v3,3,1024,0.00865728,2.47237,1508,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n1024_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v4,3,1024,0.00854768,2.50407,1508,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b3_n1024_t0_p0.5_v4_flow_latest.csv,0,0.202,
PASS,library_cub_device_select,3,8192,0.0117002,14.7581,12445,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n8192_t0_p0.5_v4_flow_latest.csv,0,0.182,
PASS,v2,3,8192,0.0085248,20.2553,12445,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n8192_t0_p0.5_v4_flow_latest.csv,0,0.184,
PASS,v3,3,8192,0.00852752,20.2488,12445,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n8192_t0_p0.5_v4_flow_latest.csv,0,0.196,
PASS,v4,3,8192,0.00852112,20.264,12445,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b3_n8192_t0_p0.5_v4_flow_latest.csv,0,0.197,
PASS,library_cub_device_select,3,131072,0.0120997,227.929,197944,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n131072_t0_p0.5_v4_flow_latest.csv,0,0.186,
PASS,v2,3,131072,0.0165122,167.02,197944,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n131072_t0_p0.5_v4_flow_latest.csv,0,0.213,
PASS,v3,3,131072,0.0146816,187.845,197944,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n131072_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v4,3,131072,0.0146974,187.643,197944,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b3_n131072_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,library_cub_device_select,3,1048576,0.0244774,901.559,1584800,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n1048576_t0_p0.5_v4_flow_latest.csv,0,0.206,
